Time,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
1687268973.5878408,0,0,0,0,0,0,0,0,0,0,0
1687268973.6882682,0,0,0,0,0,0,0,0,0,0,0
1687268973.7887645,0,0,0,0,0,0,0,0,0,0,0
1687268973.8893647,0,0,0,0,0,0,0,0,0,0,0
1687268973.9897022,0,0,0,0,0,0,0,0,0,0,0
1687268974.090127,0,0,0,0,0,0,0,0,0,0,0
1687268974.190632,0,0,0,0,0,0,0,0,0,0,0
1687268974.2910702,0,0,0,0,0,0,0,0,0,0,0
1687268974.3915308,0,0,0,0,0,0,0,0,0,0,0
1687268974.4920366,0,0,0,0,0,0,0,0,0,0,0
1687268974.5925314,0,0,0,0,0,0,0,0,0,0,0
1687268974.6931484,0,0,0,0,0,0,0,0,0,0,0
1687268974.7937186,0,0,0,0,0,0,0,0,0,0,0
1687268974.8944688,0,0,0,0,0,0,0,0,0,0,0
1687268974.9950018,0,0,0,0,0,0,0,0,0,0,0
1687268975.0955229,0,0,0,0,0,0,0,0,0,0,0
1687268975.1960425,0,0,0,0,0,0,0,0,0,0,0
1687268975.2965605,0,0,0,0,0,0,0,0,0,0,0
1687268975.39709,0,0,0,0,0,0,0,0,0,0,0
